city,station,year,pollutant,station_val,city_avg
Delhi,"Mandir Marg, Delhi - DPCC",2018,PM2.5,109.0,116
Delhi,"Mandir Marg, Delhi - DPCC",2019,PM2.5,103.0,109
Delhi,"Mandir Marg, Delhi - DPCC",2020,PM2.5,87.0,97
Delhi,"Mandir Marg, Delhi - DPCC",2021,PM2.5,101.0,107
Delhi,"Mandir Marg, Delhi - DPCC",2022,PM2.5,85.0,99
Delhi,"Mandir Marg, Delhi - DPCC",2023,PM2.5,93.0,101
Delhi,"Mandir Marg, Delhi - DPCC",2024,PM2.5,96.0,105
Delhi,"Mandir Marg, Delhi - DPCC",2025,PM2.5,85.0,102
Delhi,"Mandir Marg, Delhi - DPCC",2026,PM2.5,97.0,100
Delhi,"Mundka, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Mundka, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Mundka, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Mundka, Delhi - DPCC",2018,PM2.5,142.0,116
Delhi,"Mundka, Delhi - DPCC",2019,PM2.5,126.0,109
Delhi,"Mundka, Delhi - DPCC",2020,PM2.5,114.0,97
Delhi,"Mundka, Delhi - DPCC",2021,PM2.5,129.0,107
Delhi,"Mundka, Delhi - DPCC",2022,PM2.5,115.0,99
Delhi,"Mundka, Delhi - DPCC",2023,PM2.5,122.0,101
Delhi,"Mundka, Delhi - DPCC",2024,PM2.5,124.0,105
Delhi,"Mundka, Delhi - DPCC",2025,PM2.5,115.0,102
Delhi,"Mundka, Delhi - DPCC",2026,PM2.5,133.0,100
Delhi,"NSIT Dwarka, Delhi - CPCB",2015,PM2.5,80.0,135
Delhi,"NSIT Dwarka, Delhi - CPCB",2016,PM2.5,132.0,166
Delhi,"NSIT Dwarka, Delhi - CPCB",2017,PM2.5,128.0,134
Delhi,"NSIT Dwarka, Delhi - CPCB",2018,PM2.5,119.0,116
Delhi,"NSIT Dwarka, Delhi - CPCB",2019,PM2.5,113.0,109
Delhi,"NSIT Dwarka, Delhi - CPCB",2020,PM2.5,74.0,97
Delhi,"NSIT Dwarka, Delhi - CPCB",2021,PM2.5,99.0,107
Delhi,"NSIT Dwarka, Delhi - CPCB",2022,PM2.5,117.0,99
Delhi,"NSIT Dwarka, Delhi - CPCB",2023,PM2.5,119.0,101
Delhi,"NSIT Dwarka, Delhi - CPCB",2024,PM2.5,102.0,105
Delhi,"NSIT Dwarka, Delhi - CPCB",2025,PM2.5,74.0,102
Delhi,"NSIT Dwarka, Delhi - CPCB",2026,PM2.5,75.0,100
Delhi,"NSUT Jaffarpur, Delhi - DPCC",2015,PM2.5,,135
Delhi,"NSUT Jaffarpur, Delhi - DPCC",2016,PM2.5,,166
Delhi,"NSUT Jaffarpur, Delhi - DPCC",2017,PM2.5,,134
Delhi,"NSUT Jaffarpur, Delhi - DPCC",2018,PM2.5,,116
Delhi,"NSUT Jaffarpur, Delhi - DPCC",2019,PM2.5,,109
Delhi,"NSUT Jaffarpur, Delhi - DPCC",2020,PM2.5,,97
Delhi,"NSUT Jaffarpur, Delhi - DPCC",2021,PM2.5,,107
Delhi,"NSUT Jaffarpur, Delhi - DPCC",2022,PM2.5,,99
Delhi,"NSUT Jaffarpur, Delhi - DPCC",2023,PM2.5,,101
Delhi,"NSUT Jaffarpur, Delhi - DPCC",2024,PM2.5,,105
Delhi,"NSUT Jaffarpur, Delhi - DPCC",2025,PM2.5,,102
Delhi,"NSUT Jaffarpur, Delhi - DPCC",2026,PM2.5,82.0,100
Delhi,"Najafgarh, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Najafgarh, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Najafgarh, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Najafgarh, Delhi - DPCC",2018,PM2.5,87.0,116
Delhi,"Najafgarh, Delhi - DPCC",2019,PM2.5,93.0,109
Delhi,"Najafgarh, Delhi - DPCC",2020,PM2.5,84.0,97
Delhi,"Najafgarh, Delhi - DPCC",2021,PM2.5,84.0,107
Delhi,"Najafgarh, Delhi - DPCC",2022,PM2.5,76.0,99
Delhi,"Najafgarh, Delhi - DPCC",2023,PM2.5,83.0,101
Delhi,"Najafgarh, Delhi - DPCC",2024,PM2.5,87.0,105
Delhi,"Najafgarh, Delhi - DPCC",2025,PM2.5,80.0,102
Delhi,"Najafgarh, Delhi - DPCC",2026,PM2.5,83.0,100
Delhi,"Narela, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Narela, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Narela, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Narela, Delhi - DPCC",2018,PM2.5,121.0,116
Delhi,"Narela, Delhi - DPCC",2019,PM2.5,109.0,109
Delhi,"Narela, Delhi - DPCC",2020,PM2.5,106.0,97
Delhi,"Narela, Delhi - DPCC",2021,PM2.5,118.0,107
Delhi,"Narela, Delhi - DPCC",2022,PM2.5,108.0,99
Delhi,"Narela, Delhi - DPCC",2023,PM2.5,109.0,101
Delhi,"Narela, Delhi - DPCC",2024,PM2.5,107.0,105
Delhi,"Narela, Delhi - DPCC",2025,PM2.5,109.0,102
Delhi,"Narela, Delhi - DPCC",2026,PM2.5,110.0,100
Delhi,"Nehru Nagar, Delhi - DPCC",2015,PM2.5,,135
Delhi,"Nehru Nagar, Delhi - DPCC",2016,PM2.5,,166
Delhi,"Nehru Nagar, Delhi - DPCC",2017,PM2.5,,134
Delhi,"Nehru Nagar, Delhi - DPCC",2018,PM2.5,121.0,116
Delhi,"Nehru Nagar, Delhi - DPCC",2019,PM2.5,123.0,109
Delhi,"Nehru Nagar, Delhi - DPCC",2020,PM2.5,110.0,97
Delhi,"Nehru Nagar, Delhi - DPCC",2021,PM2.5,115.0,107
